Id,SalePrice
1461,140000
1462,140000
1463,190000
1464,190000
1465,140000
1466,190000
1467,140000
1468,178000
1469,140000
1470,140000
1471,140000
1472,118000
1473,100000
1474,148500
1475,140000
1476,190000
1477,190000
1478,140000
1479,190000
1480,190000
1481,190000
1482,190000
1483,190000
1484,140000
1485,190000
1486,178000
1487,190000
1488,140000
1489,185000
1490,185000
1491,190000
1492,140000
1493,140000
1494,190000
1495,190000
1496,140000
1497,185000
1498,140000
1499,140000
1500,155000
1501,140000
1502,190000
1503,140000
1504,190000
1505,185000
1506,140000
1507,190000
1508,140000
1509,140000
1510,140000
1511,140000
1512,140000
1513,140000
1514,140000
1515,140000
1516,140000
1517,140000
1518,140000
1519,140000
1520,140000
1521,140000
1522,140000
1523,135000
1524,140000
1525,140000
1526,140000
1527,140000
1528,140000
1529,140000
1530,140000
1531,140000
1532,140000
1533,140000
1534,140000
1535,140000
1536,140000
1537,140000
1538,140000
1539,140000
1540,140000
1541,140000
1542,140000
1543,140000
1544,140000
1545,140000
1546,140000
1547,140000
1548,140000
1549,140000
1550,140000
1551,140000
1552,140000
1553,140000
1554,140000
1555,140000
1556,140000
1557,140000
1558,140000
1559,140000
1560,140000
1561,140000
1562,140000
1563,140000
1564,140000
1565,140000
1566,190000
1567,140000
1568,190000
1569,140000
1570,140000
1571,140000
1572,140000
1573,140000
1574,140000
1575,190000
1576,190000
1577,190000
1578,135000
1579,140000
1580,190000
1581,190000
1582,140000
1583,190000
1584,190000
1585,140000
1586,140000
1587,140000
1588,140000
1589,140000
1590,140000
1591,140000
1592,140000
1593,140000
1594,140000
1595,140000
1596,140000
1597,140000
1598,190000
1599,140000
1600,140000
1601,140000
1602,140000
1603,140000
1604,275000
1605,190000
1606,140000
1607,140000
1608,190000
1609,140000
1610,140000
1611,140000
1612,140000
1613,140000
1614,140000
1615,140000
1616,115000
1617,115000
1618,140000
1619,140000
1620,140000
1621,140000
1622,140000
1623,190000
1624,190000
1625,140000
1626,140000
1627,190000
1628,190000
1629,140000
1630,190000
1631,140000
1632,140000
1633,190000
1634,190000
1635,190000
1636,140000
1637,140000
1638,140000
1639,140000
1640,190000
1641,140000
1642,140000
1643,140000
1644,190000
1645,155000
1646,140000
1647,140000
1648,140000
1649,135000
1650,140000
1651,140000
1652,100000
1653,118000
1654,155000
1655,140000
1656,148500
1657,155000
1658,155000
1659,140000
1660,140000
1661,140000
1662,190000
1663,190000
1664,140000
1665,140000
1666,315000
1667,190000
1668,140000
1669,190000
1670,190000
1671,190000
1672,190000
1673,230000
1674,190000
1675,140000
1676,230000
1677,190000
1678,190000
1679,190000
1680,140000
1681,140000
1682,190000
1683,230000
1684,185000
1685,190000
1686,140000
1687,190000
1688,190000
1689,190000
1690,190000
1691,190000
1692,190000
1693,190000
1694,190000
1695,140000
1696,190000
1697,140000
1698,190000
1699,190000
1700,190000
1701,190000
1702,155000
1703,140000
1704,190000
1705,190000
1706,140000
1707,185000
1708,185000
1709,190000
1710,185000
1711,185000
1712,185000
1713,185000
1714,190000
1715,190000
1716,140000
1717,140000
1718,140000
1719,190000
1720,190000
1721,155000
1722,155000
1723,155000
1724,140000
1725,190000
1726,140000
1727,140000
1728,140000
1729,140000
1730,140000
1731,140000
1732,140000
1733,135000
1734,140000
1735,140000
1736,140000
1737,140000
1738,190000
1739,160000
1740,185000
1741,185000
1742,140000
1743,140000
1744,140000
1745,140000
1746,140000
1747,155000
1748,190000
1749,140000
1750,140000
1751,190000
1752,140000
1753,140000
1754,140000
1755,140000
1756,140000
1757,140000
1758,140000
1759,140000
1760,140000
1761,140000
1762,140000
1763,140000
1764,140000
1765,140000
1766,140000
1767,140000
1768,140000
1769,135000
1770,140000
1771,140000
1772,140000
1773,140000
1774,140000
1775,140000
1776,140000
1777,140000
1778,140000
1779,140000
1780,140000
1781,140000
1782,140000
1783,140000
1784,140000
1785,140000
1786,140000
1787,140000
1788,140000
1789,140000
1790,140000
1791,140000
1792,140000
1793,140000
1794,140000
1795,135000
1796,140000
1797,140000
1798,140000
1799,140000
1800,140000
1801,140000
1802,140000
1803,140000
1804,140000
1805,140000
1806,135000
1807,140000
1808,140000
1809,140000
1810,140000
1811,140000
1812,140000
1813,140000
1814,140000
1815,140000
1816,140000
1817,140000
1818,140000
1819,140000
1820,140000
1821,140000
1822,140000
1823,140000
1824,140000
1825,140000
1826,140000
1827,140000
1828,140000
1829,140000
1830,140000
1831,140000
1832,140000
1833,140000
1834,140000
1835,140000
1836,140000
1837,140000
1838,140000
1839,140000
1840,140000
1841,140000
1842,140000
1843,140000
1844,140000
1845,140000
1846,140000
1847,140000
1848,140000
1849,140000
1850,140000
1851,140000
1852,140000
1853,140000
1854,140000
1855,140000
1856,190000
1857,140000
1858,140000
1859,140000
1860,140000
1861,140000
1862,140000
1863,140000
1864,140000
1865,140000
1866,190000
1867,190000
1868,190000
1869,190000
1870,190000
1871,190000
1872,190000
1873,190000
1874,140000
1875,140000
1876,190000
1877,190000
1878,190000
1879,140000
1880,140000
1881,190000
1882,190000
1883,190000
1884,190000
1885,140000
1886,190000
1887,190000
1888,190000
1889,190000
1890,140000
1891,140000
1892,140000
1893,140000
1894,135000
1895,140000
1896,135000
1897,140000
1898,140000
1899,140000
1900,140000
1901,140000
1902,140000
1903,140000
1904,140000
1905,140000
1906,140000
1907,140000
1908,124000
1909,124000
1910,124000
1911,140000
1912,140000
1913,140000
1914,140000
1915,140000
1916,140000
1917,190000
1918,140000
1919,140000
1920,140000
1921,190000
1922,190000
1923,140000
1924,190000
1925,190000
1926,190000
1927,140000
1928,140000
1929,140000
1930,140000
1931,140000
1932,140000
1933,140000
1934,140000
1935,185000
1936,190000
1937,185000
1938,190000
1939,140000
1940,140000
1941,185000
1942,140000
1943,190000
1944,190000
1945,190000
1946,140000
1947,140000
1948,140000
1949,190000
1950,140000
1951,190000
1952,140000
1953,140000
1954,140000
1955,140000
1956,190000
1957,140000
1958,190000
1959,140000
1960,140000
1961,140000
1962,118000
1963,118000
1964,100000
1965,155000
1966,140000
1967,140000
1968,190000
1969,190000
1970,190000
1971,140000
1972,190000
1973,190000
1974,190000
1975,140000
1976,190000
1977,190000
1978,190000
1979,140000
1980,140000
1981,140000
1982,140000
1983,140000
1984,140000
1985,140000
1986,140000
1987,140000
1988,190000
1989,178000
1990,230000
1991,140000
1992,190000
1993,190000
1994,190000
1995,178000
1996,190000
1997,190000
1998,190000
1999,190000
2000,290000
2001,190000
2002,140000
2003,190000
2004,190000
2005,140000
2006,185000
2007,185000
2008,185000
2009,190000
2010,190000
2011,155000
2012,140000
2013,190000
2014,190000
2015,190000
2016,190000
2017,190000
2018,140000
2019,140000
2020,140000
2021,140000
2022,140000
2023,140000
2024,190000
2025,190000
2026,185000
2027,151000
2028,185000
2029,140000
2030,140000
2031,140000
2032,140000
2033,140000
2034,140000
2035,140000
2036,140000
2037,140000
2038,140000
2039,140000
2040,190000
2041,140000
2042,185000
2043,140000
2044,140000
2045,140000
2046,140000
2047,140000
2048,140000
2049,135000
2050,140000
2051,140000
2052,140000
2053,140000
2054,140000
2055,140000
2056,140000
2057,140000
2058,140000
2059,140000
2060,140000
2061,140000
2062,140000
2063,140000
2064,140000
2065,140000
2066,140000
2067,140000
2068,135000
2069,140000
2070,140000
2071,140000
2072,140000
2073,140000
2074,140000
2075,140000
2076,140000
2077,140000
2078,140000
2079,140000
2080,135000
2081,135000
2082,140000
2083,140000
2084,140000
2085,140000
2086,140000
2087,115000
2088,140000
2089,140000
2090,140000
2091,140000
2092,140000
2093,140000
2094,140000
2095,140000
2096,140000
2097,140000
2098,140000
2099,140000
2100,140000
2101,140000
2102,140000
2103,140000
2104,140000
2105,140000
2106,140000
2107,140000
2108,140000
2109,140000
2110,140000
2111,140000
2112,135000
2113,140000
2114,140000
2115,140000
2116,140000
2117,140000
2118,140000
2119,140000
2120,140000
2121,140000
2122,140000
2123,140000
2124,140000
2125,140000
2126,140000
2127,140000
2128,140000
2129,140000
2130,140000
2131,140000
2132,140000
2133,140000
2134,140000
2135,140000
2136,140000
2137,135000
2138,140000
2139,140000
2140,140000
2141,140000
2142,140000
2143,140000
2144,140000
2145,140000
2146,140000
2147,140000
2148,140000
2149,140000
2150,190000
2151,135000
2152,140000
2153,140000
2154,140000
2155,140000
2156,190000
2157,190000
2158,190000
2159,190000
2160,190000
2161,190000
2162,190000
2163,140000
2164,190000
2165,140000
2166,140000
2167,190000
2168,155000
2169,190000
2170,190000
2171,140000
2172,140000
2173,140000
2174,230000
2175,190000
2176,190000
2177,190000
2178,190000
2179,140000
2180,140000
2181,230000
2182,230000
2183,190000
2184,140000
2185,140000
2186,140000
2187,140000
2188,140000
2189,140000
2190,140000
2191,140000
2192,140000
2193,135000
2194,140000
2195,140000
2196,140000
2197,135000
2198,140000
2199,140000
2200,140000
2201,140000
2202,140000
2203,140000
2204,140000
2205,135000
2206,140000
2207,140000
2208,140000
2209,140000
